"city","contaminants","X2010","X2011","X2012","X2013","X2014"
"Бобруйск","Оксид углерода",0,0,0,NA,0
"Бобруйск","Диоксид азота",1.5,0.5,0,NA,1
"Брест","Твердые частицы фракции РМ10",NA,15,NA,NA,2
"Брест","Диоксид серы",0,0,0,NA,0
"Брест","Оксид углерода",0.5,0,0,NA,0.5
"Брест","Диоксид азота",2,1,0,NA,8.5
"Витебск","Твердые частицы фракции РМ10",8,5.5,NA,NA,NA
"Витебск","Диоксид серы",0,0,0,NA,0
"Витебск","Оксид углерода",0.5,0,0,NA,0
"Витебск","Диоксид азота",0,0,0,NA,0.5
"Гомель","Твердые частицы фракции РМ10",NA,NA,NA,NA,NA
"Гомель","Оксидуглерода",0,0,0.5,NA,31.5
"Гомель","Диоксидазота",0,0.5,0,NA,1
"Гродно","Твердые частицы фракции РМ10",NA,6.5,NA,NA,NA
"Гродно","Диоксидсеры",0,0,0,NA,0
"Гродно","Оксид углерода",0,0,0,NA,0
"Гродно","Диоксид азота",0.5,6.5,0,NA,0.5
"Минск","Твердые частицы фракции РМ10",NA,NA,NA,NA,NA
"Минск","Диоксид серы",0,0,0.5,NA,0
"Минск","Оксид углерода",0.5,0,0,NA,5.5
"Минск","Диоксид азота",2,4.5,5,19.5,14
"Могилев","Твердые частицы фракции РМ10",NA,NA,NA,NA,NA
"Могилев","Диоксид серы",0,0,0,NA,0
"Могилев","Оксид углерода",2,0.5,0,NA,0.5
"Могилев","Диоксид азота",21.5,25.5,17.5,22,27.5
"Новополоцк","Твердые частицы фракции РМ10",NA,NA,NA,NA,NA
"Новополоцк","Диоксид серы",0,0,0,2.5,7
"Новополоцк","Оксид углерода",0,0,0,NA,0.5
"Новополоцк","Диоксид азота",8.5,10.5,10,16,0
"Орша","Оксид углерода",0,0,0,NA,0
"Орша","Диоксид азота",0.5,1,0.5,NA,0
"Пинск","Оксид углерода",0,0,0,NA,0
"Пинск","Диоксид азота",0,0,4,NA,0.5
"Полоцк","Твердые частицы фракции РМ10",NA,NA,NA,NA,NA
"Полоцк","Диоксидсеры",0,0,0,NA,6.5
"Полоцк","Оксидуглерода",0,0,0,NA,0.5
"Полоцк","Диоксидазота",5,0.5,24,NA,2.5
"Светлогорск","Оксид углерода",0,0,0,NA,0
"Светлогорск","Диоксид азота",0,0,0,NA,0
